langpair	system	metric	segmenter	manual	realigned	delta
en-es	Phi-3-Medium	chrfpp	none	62.3862	62.2253	-0.1609
en-es	Phi-3-Medium	bleu	flores200	42.3699	42.3483	-0.0216
en-es	Phi-3-Medium	chrfpp	flores200	62.3862	62.3232	-0.0630
en-es	Phi-3-Medium	bleu	spm32k	42.3699	42.3503	-0.0195
en-es	Phi-3-Medium	chrfpp	spm32k	62.3862	62.3334	-0.0528
en-es	Phi-3-Medium	bleu	spm64k	42.3699	42.3440	-0.0259
en-es	Phi-3-Medium	chrfpp	spm64k	62.3862	62.3223	-0.0638
en-es	Phi-3-Medium	bleu	spm128k	42.3699	42.3386	-0.0312
en-es	Phi-3-Medium	chrfpp	spm128k	62.3862	62.3259	-0.0603
en-es	Phi-3-Medium	bleu	spm256k	42.3699	42.3402	-0.0297
en-es	Phi-3-Medium	chrfpp	spm256k	62.3862	62.3295	-0.0567
