variant	variant_label	langpair	system	segmenter	ok	n_segments	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy_none	legacy (none)	en-ru	Dubformer	none	1	997	27491	27.574	4	7324	189369107	1.811
legacy_none	legacy (none)	en-ru	IKUN	none	1	997	28193	28.278	4	7436	199076805	1.945
legacy_none	legacy (none)	en-ru	IKUN-C	none	1	997	28096	28.181	4	7431	197693734	1.903
legacy_none	legacy (none)	en-ru	IOL-Research	none	1	997	28528	28.614	4	7544	203847040	1.915
legacy_none	legacy (none)	en-ru	NVIDIA-NeMo	none	1	997	29058	29.145	4	7945	211775148	1.918
legacy_none	legacy (none)	en-ru	TranssionMT	none	1	997	28540	28.626	4	7514	203980638	1.906
legacy_none	legacy (none)	en-ru	TSU-HITs	none	1	997	20091	20.151	4	5449	101460475	1.455
legacy_none	legacy (none)	en-ru	Unbabel-Tower70B	none	1	997	29016	29.103	4	7825	211139866	1.95
legacy_none	legacy (none)	en-ru	Yandex	none	1	997	29251	29.339	4	7892	214549665	1.914
legacy_none	legacy (none)	en-ru	Aya23	none	1	997	28881	28.968	4	7539	208837907	1.909
legacy_none	legacy (none)	en-ru	CommandR-plus	none	1	997	29018	29.105	4	7668	210994770	1.945
legacy_none	legacy (none)	en-ru	ONLINE-W	none	1	997	28346	28.431	4	7490	201328114	1.791
legacy_none	legacy (none)	en-ru	ONLINE-B	none	1	997	28545	28.631	4	7526	204056689	1.901
legacy_none	legacy (none)	en-ru	Llama3-70B	none	1	997	28756	28.843	4	7686	207167122	1.827
legacy_none	legacy (none)	en-ru	ONLINE-A	none	1	997	29172	29.26	4	7667	213110046	1.899
legacy_none	legacy (none)	en-ru	ONLINE-G	none	1	997	29497	29.586	4	7868	218036433	1.886
legacy_none	legacy (none)	en-ru	Gemini-1.5-Pro	none	1	997	30331	30.422	4	9237	233939803	2.061
legacy_none	legacy (none)	en-ru	Mistral-Large	none	1	997	29530	29.619	4	8100	218788882	1.879
legacy_none	legacy (none)	en-ru	Claude-3.5	none	1	997	29095	29.183	4	7974	212490117	1.887
legacy_none	legacy (none)	en-ru	GPT-4	none	1	997	28477	28.563	4	7628	203219793	1.821
legacy_none	legacy (none)	en-ru	Phi-3-Medium	none	1	997	28480	28.566	4	7567	203147178	1.84
legacy_none	legacy (none)	en-uk	CycleL	none	1	997	25983	26.061	4	8003	171931435	1.866
legacy_none	legacy (none)	en-uk	Dubformer	none	1	997	27477	27.56	4	7282	189091849	1.716
legacy_none	legacy (none)	en-uk	IKUN	none	1	997	27608	27.691	4	7305	190954436	1.836
legacy_none	legacy (none)	en-uk	IKUN-C	none	1	997	27453	27.536	4	7227	188651835	1.826
legacy_none	legacy (none)	en-uk	IOL-Research	none	1	997	27911	27.995	4	7321	195055091	1.828
legacy_none	legacy (none)	en-uk	NVIDIA-NeMo	none	1	997	28640	28.726	4	7814	205690038	1.79
legacy_none	legacy (none)	en-uk	TranssionMT	none	1	997	28685	28.771	4	7573	206031355	1.856
legacy_none	legacy (none)	en-uk	Unbabel-Tower70B	none	1	997	28394	28.479	4	7667	202188940	1.985
legacy_none	legacy (none)	en-uk	Aya23	none	1	997	28269	28.354	4	7429	200083947	1.895
legacy_none	legacy (none)	en-uk	CommandR-plus	none	1	997	28149	28.234	4	7468	198512547	1.918
legacy_none	legacy (none)	en-uk	ONLINE-W	none	1	997	28090	28.175	4	7374	197612582	1.8
legacy_none	legacy (none)	en-uk	ONLINE-B	none	1	997	27710	27.793	4	7250	192224302	1.857
legacy_none	legacy (none)	en-uk	Llama3-70B	none	1	997	28434	28.52	4	7565	202505334	1.826
legacy_none	legacy (none)	en-uk	ONLINE-A	none	1	997	28455	28.541	4	7466	202683261	1.873
legacy_none	legacy (none)	en-uk	ONLINE-G	none	1	997	28938	29.025	4	7714	209853482	1.826
legacy_none	legacy (none)	en-uk	Gemini-1.5-Pro	none	1	997	30461	30.553	4	9331	236053955	2.039
legacy_none	legacy (none)	en-uk	Mistral-Large	none	1	997	28365	28.45	4	7650	201670781	1.811
legacy_none	legacy (none)	en-uk	Claude-3.5	none	1	997	28275	28.36	4	7635	200449331	1.811
legacy_none	legacy (none)	en-uk	GPT-4	none	1	997	28340	28.425	4	7520	201166234	1.799
