label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm128k	en-uk	IOL-Research	spm128k	1	993	895	997	819	27911	27.995	4	7321	195055091	6.97
spm128k	en-uk	NVIDIA-NeMo	spm128k	1	993	860	997	747	28640	28.726	4	7814	205690038	7.06
spm128k	en-uk	TranssionMT	spm128k	1	993	901	997	819	28685	28.771	4	7573	206031355	7.114
spm128k	en-uk	Unbabel-Tower70B	spm128k	1	993	878	997	781	28394	28.479	4	7667	202188940	7.081
spm128k	en-uk	Aya23	spm128k	1	993	887	997	799	28269	28.354	4	7429	200083947	6.992
spm128k	en-uk	CommandR-plus	spm128k	1	993	894	997	807	28149	28.234	4	7468	198512547	7.07
spm128k	en-uk	ONLINE-W	spm128k	1	993	924	997	860	28090	28.175	4	7374	197612582	7.07
spm128k	en-uk	ONLINE-B	spm128k	1	993	901	997	819	27710	27.793	4	7250	192224302	6.942
spm128k	en-uk	Llama3-70B	spm128k	1	993	896	997	814	28434	28.52	4	7565	202505334	7.117
spm128k	en-uk	ONLINE-A	spm128k	1	993	887	997	796	28455	28.541	4	7466	202683261	7.074
spm128k	en-uk	ONLINE-G	spm128k	1	993	888	997	796	28938	29.025	4	7714	209853482	7.149
spm128k	en-uk	Gemini-1.5-Pro	spm128k	1	993	852	997	740	30461	30.553	4	9331	236053955	7.599
spm128k	en-uk	Mistral-Large	spm128k	1	993	895	997	812	28365	28.45	4	7650	201670781	7.038
spm128k	en-uk	Claude-3.5	spm128k	1	993	902	997	822	28275	28.36	4	7635	200449331	7.079
spm128k	en-uk	GPT-4	spm128k	1	993	882	997	789	28340	28.425	4	7520	201166234	7.001
spm128k	en-uk	Phi-3-Medium	spm128k	1	993	802	997	655	30628	30.72	4	8068	234831024	7.926
spm128k	en-zh	CycleL	spm128k	1	993	705	997	521	4159	4.172	4	1462	4606813	4.525
spm128k	en-zh	CycleL2	spm128k	1	993	378	997	137	6974	6.995	4	2477	13391788	4.642
spm128k	en-zh	HW-TSC	spm128k	1	993	975	997	963	1946	1.952	4	892	1195990	4.215
spm128k	en-zh	IKUN	spm128k	1	993	976	997	964	1377	1.381	4	741	685449	4.107
spm128k	en-zh	IKUN-C	spm128k	1	993	980	997	971	1401	1.405	4	746	702999	4.04
spm128k	en-zh	IOL-Research	spm128k	1	993	983	997	978	1291	1.295	4	713	620789	4.255
spm128k	en-zh	NVIDIA-NeMo	spm128k	1	993	921	997	858	3642	3.653	4	1812	4577450	4.417
spm128k	en-zh	Unbabel-Tower70B	spm128k	1	993	976	997	964	1902	1.908	4	997	1277498	4.301
spm128k	en-zh	UvA-MT	spm128k	1	993	898	997	820	6841	6.862	4	2394	12346543	4.522
spm128k	en-zh	Aya23	spm128k	1	993	980	997	973	1532	1.537	4	773	791554	4.194
spm128k	en-zh	CommandR-plus	spm128k	1	993	977	997	963	1885	1.891	4	902	1139655	4.299
spm128k	en-zh	ONLINE-W	spm128k	1	993	972	997	957	2534	2.542	4	1052	1897470	4.299
spm128k	en-zh	ONLINE-B	spm128k	1	993	976	997	964	2404	2.411	4	1040	1777986	4.261
spm128k	en-zh	Llama3-70B	spm128k	1	993	974	997	961	1471	1.475	4	832	830515	4.129
spm128k	en-zh	ONLINE-A	spm128k	1	993	977	997	965	1929	1.935	4	961	1241387	4.226
spm128k	en-zh	ONLINE-G	spm128k	1	993	969	997	950	2480	2.487	4	799	1628962	4.226
spm128k	en-zh	Gemini-1.5-Pro	spm128k	1	993	962	997	937	2796	2.804	4	1686	3286152	4.596
spm128k	en-zh	Mistral-Large	spm128k	1	993	968	997	951	1835	1.841	4	1188	1558325	4.277
spm128k	en-zh	Claude-3.5	spm128k	1	993	981	997	973	2200	2.207	4	918	1677230	4.352
spm128k	en-zh	GPT-4	spm128k	1	993	980	997	973	1334	1.338	4	706	634364	4.209
spm128k	en-zh	Phi-3-Medium	spm128k	1	993	972	997	954	1339	1.343	4	708	636125	4.207
spm128k	ja-zh	CycleL	spm128k	1	718	297	721	136	7374	10.227	3	2727	18456278	5.073
spm128k	ja-zh	DLUT-GTCOM	spm128k	1	718	708	721	701	891	1.236	3	384	284045	4.538
spm128k	ja-zh	IKUN	spm128k	1	718	694	721	673	947	1.313	3	375	310945	4.153
spm128k	ja-zh	IKUN-C	spm128k	1	718	661	721	608	901	1.25	3	359	281595	4.071
spm128k	ja-zh	IOL-Research	spm128k	1	718	711	721	706	834	1.157	3	342	247796	4.476
spm128k	ja-zh	MSLC	spm128k	1	718	706	721	697	820	1.137	3	332	240248	4.089
spm128k	ja-zh	NTTSU	spm128k	1	718	684	721	654	985	1.366	3	353	325203	4.362
spm128k	ja-zh	Team-J	spm128k	1	718	691	721	668	1707	2.368	3	882	1122561	4.379
spm128k	ja-zh	Unbabel-Tower70B	spm128k	1	718	706	721	698	871	1.208	3	351	264673	4.451
spm128k	ja-zh	UvA-MT	spm128k	1	718	634	721	563	4681	6.492	3	2476	8571529	4.646
spm128k	ja-zh	Aya23	spm128k	1	718	697	721	680	1129	1.566	3	429	430841	4.321
spm128k	ja-zh	CommandR-plus	spm128k	1	718	710	721	705	975	1.352	3	365	319787	4.424
spm128k	ja-zh	ONLINE-W	spm128k	1	718	641	721	580	2485	3.447	3	1489	2717547	4.394
spm128k	ja-zh	ONLINE-B	spm128k	1	718	706	721	697	1423	1.974	3	630	713845	4.319
spm128k	ja-zh	Llama3-70B	spm128k	1	718	701	721	689	1074	1.49	3	379	386558	4.358
spm128k	ja-zh	ONLINE-A	spm128k	1	718	698	721	682	2310	3.204	3	929	1820762	4.499
spm128k	ja-zh	ONLINE-G	spm128k	1	718	642	721	578	1252	1.736	3	435	523514	4.475
spm128k	ja-zh	Gemini-1.5-Pro	spm128k	1	718	697	721	682	1387	1.924	3	511	645457	4.67
spm128k	ja-zh	Mistral-Large	spm128k	1	718	700	721	686	1127	1.563	3	513	472069	4.539
spm128k	ja-zh	Claude-3.5	spm128k	1	718	699	721	684	1119	1.552	3	391	418755	4.573
spm128k	ja-zh	GPT-4	spm128k	1	718	704	721	694	842	1.168	3	352	254036	4.447
spm128k	ja-zh	Phi-3-Medium	spm128k	1	718	705	721	697	906	1.257	3	350	279806	4.392
